account_length_months,monthly_charges_usd,total_charges_usd,customer_service_calls,contract_type,payment_method,international_plan,target
1,24.54,190.11,2,Month-to-Month,Electronic,No,0
8,48.1,4580.06,0,Month-to-Month,Credit Card,No,0
63,115.04,676.98,4,Two-Year,Bank Transfer,No,1
11,109.03,2924.93,1,Month-to-Month,Electronic,No,1
8,65.57,1442.87,0,Month-to-Month,Electronic,No,0
35,82.01,2815.47,0,Month-to-Month,Electronic,Yes,0
35,47.74,3291.96,0,Month-to-Month,Electronic,No,0
33,38.81,4165.73,1,One-Year,Electronic,No,1
5,66.37,1111.46,0,Two-Year,Electronic,No,0
41,55.34,153.88,2,Month-to-Month,Bank Transfer,No,0
28,78.37,770.74,1,Month-to-Month,Credit Card,No,0
7,27.77,4510.09,0,Month-to-Month,Electronic,No,0
12,117.44,4382.06,1,Two-Year,Mailed Check,No,0
34,118.62,3027.32,2,One-Year,Bank Transfer,No,0
33,89.82,3042.53,0,Month-to-Month,Bank Transfer,No,0
48,73.61,3358.68,0,Two-Year,Electronic,No,1
23,50.95,959.32,0,Two-Year,Bank Transfer,No,0
62,101.38,4580.62,2,Two-Year,Electronic,Yes,0
37,88.47,2151.98,1,Two-Year,Credit Card,No,1
44,36.26,1977.38,1,Month-to-Month,Credit Card,No,0
35,111.09,2642.7,2,One-Year,Bank Transfer,No,0
65,102.25,330.13,2,Month-to-Month,Bank Transfer,No,0
47,114.98,914.79,1,Two-Year,Mailed Check,Yes,0
3,92.57,3716.36,3,One-Year,Bank Transfer,No,0
1,81.34,505.71,0,One-Year,Mailed Check,No,1
5,61.82,3055.45,0,One-Year,Credit Card,No,0
14,113.27,1302.21,0,Month-to-Month,Credit Card,No,0
27,106.61,2007.55,0,Month-to-Month,Electronic,No,0
9,24.52,1514.6,1,Two-Year,Credit Card,No,1
15,22.64,1842.8,4,Two-Year,Mailed Check,No,0
42,57.65,3623.32,0,Month-to-Month,Bank Transfer,No,0
51,101.06,1555.9,0,Month-to-Month,Electronic,No,0
63,118.73,2875.38,1,Month-to-Month,Mailed Check,No,0
52,35.04,2432.65,4,One-Year,Bank Transfer,Yes,0
4,79.41,3351.99,0,Two-Year,Electronic,No,1
23,58.09,4690.47,1,Month-to-Month,Credit Card,Yes,0
15,116.99,3689.6,0,Month-to-Month,Mailed Check,No,0
43,104.21,1153.21,0,Two-Year,Bank Transfer,No,0
29,103.83,252.8,5,One-Year,Electronic,Yes,1
36,66.87,1385.09,4,Month-to-Month,Electronic,No,0
13,61.48,3015.88,0,One-Year,Credit Card,No,0
32,47.34,351.99,4,Month-to-Month,Bank Transfer,No,0
71,25.64,2532.19,1,Month-to-Month,Credit Card,No,0
59,106.47,3024.53,3,One-Year,Credit Card,Yes,0
28,101.29,1737.8,1,One-Year,Bank Transfer,No,1
66,119.97,3877.47,1,Two-Year,Bank Transfer,No,1
42,119.66,622.33,1,One-Year,Bank Transfer,No,0
45,75.54,468.18,1,One-Year,Mailed Check,Yes,0
62,96.9,3668.12,0,Month-to-Month,Bank Transfer,No,0
57,114.48,2527.91,0,Month-to-Month,Electronic,No,0
6,104.96,3473.17,0,Month-to-Month,Credit Card,No,0
28,44.73,2230.65,2,Month-to-Month,Mailed Check,Yes,0
28,65.05,1307.37,0,One-Year,Bank Transfer,Yes,0
44,32.92,4113.6,1,Two-Year,Mailed Check,No,0
30,115.41,4017.14,4,Month-to-Month,Bank Transfer,No,0
62,80.62,3504.01,0,Month-to-Month,Mailed Check,No,0
62,42.86,1433.51,1,Two-Year,Credit Card,No,0
1,87.17,2992.13,1,Month-to-Month,Credit Card,No,0
27,81.81,1868.77,3,One-Year,Electronic,No,0
62,55.82,548.75,0,One-Year,Electronic,No,0
3,31.36,4594.84,1,One-Year,Bank Transfer,No,0
70,87.16,770.41,2,Month-to-Month,Credit Card,No,0
27,72.03,4756.16,4,Month-to-Month,Mailed Check,No,0
9,97.23,2285.43,1,One-Year,Mailed Check,No,0
62,72.02,1007.15,1,One-Year,Mailed Check,No,0
37,105.22,2755.31,1,Month-to-Month,Electronic,No,1
51,75.19,4377.43,3,One-Year,Mailed Check,No,0
44,76.09,3687.9,1,Month-to-Month,Electronic,No,0
24,107.67,4052.15,0,One-Year,Electronic,No,0
59,60.35,3328.04,4,Month-to-Month,Bank Transfer,No,0
32,33.4,3492.16,1,Two-Year,Mailed Check,No,0
52,22.88,4261.06,1,Month-to-Month,Mailed Check,No,0
62,95.51,1323.37,0,Month-to-Month,Credit Card,No,0
58,82.03,2498.18,1,Month-to-Month,Bank Transfer,No,0
52,90.41,1183.93,0,Month-to-Month,Credit Card,No,0
12,41.3,4939.57,1,Two-Year,Bank Transfer,Yes,0
39,33.64,4725.89,0,Two-Year,Mailed Check,No,1
2,21.45,293.19,1,Month-to-Month,Electronic,No,0
3,55.06,3557.32,5,Month-to-Month,Electronic,No,0
56,78.99,4633.72,0,One-Year,Electronic,No,0
59,59.22,984.82,4,Two-Year,Electronic,No,1
2,63.75,2882.93,1,One-Year,Electronic,No,0
2,110.42,4585.89,3,Month-to-Month,Credit Card,No,0
54,54.83,266.34,2,Month-to-Month,Bank Transfer,No,0
1,71.4,3517.36,1,One-Year,Mailed Check,No,0
19,98.37,1557.01,2,Month-to-Month,Credit Card,No,0
2,59.65,4629.54,3,One-Year,Bank Transfer,No,0
53,82.21,4858.19,1,Month-to-Month,Electronic,No,0
44,106.24,4726.91,0,One-Year,Bank Transfer,No,0
32,114.95,2423.65,1,Month-to-Month,Bank Transfer,No,0
70,34.71,4324.01,2,One-Year,Electronic,Yes,0
32,112.66,4238.29,2,Month-to-Month,Electronic,No,0
68,69.21,1663.59,2,One-Year,Electronic,No,0
55,45.82,4161.69,1,Month-to-Month,Mailed Check,Yes,0
56,65.91,281.34,2,One-Year,Electronic,No,1
17,118.0,3021.72,0,One-Year,Mailed Check,Yes,0
38,69.26,1227.04,1,One-Year,Electronic,No,0
24,52.88,690.78,0,One-Year,Mailed Check,No,0
69,83.34,477.07,0,One-Year,Bank Transfer,Yes,1
70,44.01,3511.82,0,Two-Year,Credit Card,No,0
11,27.59,1765.39,0,Month-to-Month,Bank Transfer,Yes,0
16,32.89,3651.36,1,Two-Year,Bank Transfer,No,0
59,32.8,420.25,0,Month-to-Month,Electronic,No,0
70,35.19,1644.92,1,Month-to-Month,Mailed Check,No,0
3,33.88,2743.51,0,Month-to-Month,Credit Card,No,0
20,84.09,3974.54,0,Month-to-Month,Electronic,No,0
59,38.19,1661.89,0,One-Year,Electronic,No,1
36,54.57,3166.87,0,One-Year,Electronic,No,0
19,109.68,4441.29,1,One-Year,Bank Transfer,No,0
67,67.4,3117.73,1,Month-to-Month,Mailed Check,No,0
19,86.76,1241.5,1,Month-to-Month,Mailed Check,No,0
20,37.23,219.56,1,Month-to-Month,Credit Card,No,0
71,39.23,4363.48,0,Month-to-Month,Mailed Check,No,0
52,24.09,204.22,3,Month-to-Month,Mailed Check,No,0
33,36.89,4386.04,1,Month-to-Month,Electronic,No,1
40,47.86,2691.79,1,Month-to-Month,Electronic,Yes,1
39,37.7,4701.43,0,One-Year,Bank Transfer,No,0
1,28.87,4014.04,0,One-Year,Electronic,No,0
11,32.06,4989.88,0,Two-Year,Electronic,No,1
57,66.08,1818.49,0,Two-Year,Electronic,No,0
50,40.63,3859.22,1,One-Year,Electronic,No,1
23,56.43,2069.46,1,Month-to-Month,Bank Transfer,Yes,0
31,70.34,2451.39,1,One-Year,Electronic,No,0
42,89.04,3174.78,2,One-Year,Credit Card,No,0
7,23.93,4381.02,2,Month-to-Month,Credit Card,No,0
16,99.94,4922.01,2,Month-to-Month,Credit Card,No,0
60,82.79,3864.54,4,Two-Year,Credit Card,No,0
2,28.18,2147.06,0,Month-to-Month,Electronic,No,0
1,107.36,2164.65,0,One-Year,Credit Card,No,0
48,112.09,3714.15,0,One-Year,Electronic,No,0
12,26.11,1270.01,1,Month-to-Month,Bank Transfer,No,1
69,47.69,641.32,3,Month-to-Month,Credit Card,No,0
37,100.62,1837.65,0,Month-to-Month,Mailed Check,No,1
32,94.83,1507.47,3,Month-to-Month,Credit Card,Yes,0
9,38.45,1551.91,0,Month-to-Month,Credit Card,No,0
19,40.93,1244.68,4,Two-Year,Electronic,No,1
48,57.05,306.26,0,Month-to-Month,Credit Card,No,0
3,68.45,187.58,0,Month-to-Month,Mailed Check,No,0
20,81.83,4939.84,1,Month-to-Month,Electronic,No,0
24,56.89,2196.09,0,Two-Year,Electronic,No,0
54,66.25,1983.2,0,Month-to-Month,Bank Transfer,No,0
33,94.75,3430.27,0,Month-to-Month,Bank Transfer,No,1
24,23.67,1169.44,2,Two-Year,Credit Card,Yes,0
36,45.24,4754.81,1,Two-Year,Bank Transfer,No,0
38,91.33,3953.09,0,Month-to-Month,Bank Transfer,No,0
25,109.52,538.11,1,Two-Year,Bank Transfer,No,0
18,71.17,2146.15,2,Month-to-Month,Electronic,No,0
66,73.21,4407.68,0,Month-to-Month,Electronic,No,0
54,30.72,4729.19,1,Month-to-Month,Electronic,No,0
35,64.74,2390.27,0,Month-to-Month,Bank Transfer,No,0
61,73.26,3105.72,0,One-Year,Electronic,No,0
41,44.25,918.47,1,Month-to-Month,Bank Transfer,No,0
33,46.92,4956.73,0,Month-to-Month,Electronic,No,0
68,57.73,1235.19,1,One-Year,Electronic,No,0
33,22.01,4719.39,2,One-Year,Mailed Check,No,1
14,52.21,3283.27,0,Month-to-Month,Credit Card,No,0
21,41.14,3077.91,1,One-Year,Bank Transfer,No,0
48,52.75,2612.17,0,Month-to-Month,Mailed Check,No,0
20,31.98,1230.28,4,One-Year,Electronic,No,0
8,109.05,964.99,1,One-Year,Bank Transfer,No,0
7,79.36,1180.38,2,Two-Year,Electronic,No,0
67,87.91,1013.55,1,Month-to-Month,Credit Card,No,0
17,98.92,3919.96,0,Month-to-Month,Mailed Check,No,0
33,69.84,1815.61,1,Month-to-Month,Credit Card,No,0
48,28.69,383.43,4,Month-to-Month,Mailed Check,No,0
59,73.71,4848.6,1,Month-to-Month,Electronic,No,0
22,78.68,4430.55,2,Two-Year,Credit Card,Yes,0
30,94.54,4645.99,3,Month-to-Month,Credit Card,No,1
38,63.17,4975.05,0,Month-to-Month,Electronic,No,1
51,32.76,952.09,0,One-Year,Credit Card,No,0
54,48.38,2041.59,1,Month-to-Month,Bank Transfer,No,1
8,56.31,3815.37,1,One-Year,Mailed Check,Yes,1
27,84.59,3510.5,2,Month-to-Month,Mailed Check,No,0
27,77.08,854.09,3,Month-to-Month,Mailed Check,No,0
21,55.61,4097.58,0,Month-to-Month,Bank Transfer,Yes,0
30,118.65,1199.76,0,Month-to-Month,Mailed Check,No,0
28,80.58,1196.71,2,Two-Year,Electronic,No,0
64,43.72,2731.17,0,Month-to-Month,Credit Card,No,0
69,30.18,3005.41,2,Month-to-Month,Bank Transfer,No,0
61,35.29,2942.42,1,Month-to-Month,Mailed Check,No,0
48,44.6,548.29,1,Month-to-Month,Electronic,No,1
19,36.07,4399.56,0,Two-Year,Credit Card,Yes,0
4,38.66,1401.44,1,Month-to-Month,Credit Card,No,0
35,48.51,734.62,1,One-Year,Bank Transfer,No,0
64,37.34,4454.87,1,Two-Year,Bank Transfer,No,0
49,109.68,4782.69,0,One-Year,Bank Transfer,No,1
17,28.02,4324.43,2,Two-Year,Electronic,No,0
44,72.45,4066.63,3,Month-to-Month,Electronic,No,0
30,61.04,3310.69,0,Month-to-Month,Bank Transfer,No,0
46,118.24,2799.2,0,Month-to-Month,Mailed Check,No,0
6,31.2,526.24,0,One-Year,Credit Card,No,0
37,59.79,2101.42,1,Two-Year,Credit Card,No,0
24,116.95,1926.17,1,Month-to-Month,Electronic,Yes,0
46,106.55,1372.79,1,One-Year,Credit Card,No,0
53,101.71,3644.76,0,Month-to-Month,Mailed Check,No,0
60,45.79,2529.79,0,One-Year,Credit Card,No,1
63,37.09,497.13,1,Month-to-Month,Electronic,No,0
32,86.86,1178.9,1,Two-Year,Electronic,Yes,1
33,112.94,3447.97,5,One-Year,Mailed Check,No,0
67,75.68,473.04,0,Month-to-Month,Mailed Check,No,0
18,77.16,4270.91,1,Month-to-Month,Credit Card,No,0
25,48.0,2526.22,1,Month-to-Month,Credit Card,No,0
54,96.95,2454.87,1,Month-to-Month,Electronic,No,0
58,38.7,3002.8,2,Month-to-Month,Mailed Check,Yes,0
67,52.37,4140.94,1,Two-Year,Mailed Check,No,0
46,62.54,1804.27,5,One-Year,Mailed Check,No,1
24,70.76,3422.28,0,Month-to-Month,Credit Card,No,0
32,44.24,2872.09,0,Month-to-Month,Mailed Check,No,0
47,31.48,1408.44,2,Two-Year,Electronic,Yes,0
23,81.06,4405.29,1,One-Year,Electronic,No,0
66,48.86,4007.39,0,Month-to-Month,Credit Card,No,0
27,78.12,3326.41,0,One-Year,Bank Transfer,No,0
2,35.44,4267.85,0,Month-to-Month,Credit Card,No,0
17,68.11,4349.74,3,Month-to-Month,Bank Transfer,No,0
33,73.26,3570.98,0,Month-to-Month,Mailed Check,No,0
9,25.18,4201.37,0,Month-to-Month,Credit Card,Yes,0
43,53.66,3517.61,0,Month-to-Month,Electronic,No,1
48,33.44,3432.69,0,Two-Year,Mailed Check,No,0
39,26.34,3131.2,0,Two-Year,Electronic,No,0
42,119.0,3788.31,1,One-Year,Mailed Check,No,0
26,52.24,877.17,0,Month-to-Month,Credit Card,No,0
50,100.99,4416.27,2,Month-to-Month,Bank Transfer,Yes,0
25,45.46,4372.03,0,One-Year,Mailed Check,No,0
24,88.15,243.31,1,Month-to-Month,Bank Transfer,No,0
13,96.02,4146.5,3,Month-to-Month,Mailed Check,No,0
60,79.56,731.46,1,Month-to-Month,Electronic,No,0
7,67.16,1742.08,1,Two-Year,Electronic,No,0
57,61.18,3743.19,0,Month-to-Month,Mailed Check,No,1
36,54.89,887.72,0,Month-to-Month,Bank Transfer,Yes,0
45,112.95,4108.04,1,One-Year,Credit Card,No,0
20,103.06,4177.46,5,Month-to-Month,Credit Card,No,1
65,116.5,2586.59,1,Month-to-Month,Electronic,No,1
8,32.43,131.29,1,Month-to-Month,Credit Card,No,0
16,93.09,1506.49,2,Month-to-Month,Electronic,No,0
14,113.83,3122.94,1,One-Year,Credit Card,No,0
15,38.12,4907.81,0,Month-to-Month,Mailed Check,No,1
66,26.65,3195.89,1,Month-to-Month,Electronic,No,1
32,94.11,1373.04,4,Two-Year,Electronic,No,0
63,77.45,3206.63,0,Two-Year,Mailed Check,No,0
51,104.18,2745.93,1,Two-Year,Electronic,No,0
25,33.98,3921.24,0,Month-to-Month,Credit Card,No,0
58,99.53,624.21,1,Month-to-Month,Credit Card,No,0
63,40.16,3829.04,0,Two-Year,Electronic,No,1
62,36.37,2752.21,1,One-Year,Credit Card,No,0
22,36.43,4818.66,2,Month-to-Month,Bank Transfer,No,1
58,101.46,1775.17,0,Month-to-Month,Electronic,No,1
58,86.52,3199.85,1,Month-to-Month,Mailed Check,No,0
49,72.31,4666.94,2,Two-Year,Bank Transfer,No,0
52,55.88,602.3,3,Month-to-Month,Electronic,Yes,0
42,107.72,4692.42,0,Month-to-Month,Mailed Check,No,0
70,59.24,3470.64,0,Month-to-Month,Credit Card,Yes,0
15,101.66,432.4,0,One-Year,Mailed Check,No,0
54,63.91,1574.72,5,Two-Year,Bank Transfer,No,0
60,57.69,3570.04,3,Month-to-Month,Credit Card,No,0
8,66.27,430.02,1,One-Year,Electronic,No,0
53,50.14,2952.64,2,Two-Year,Credit Card,No,0
60,94.76,1794.83,1,Month-to-Month,Electronic,No,0
5,70.27,3142.49,1,Month-to-Month,Electronic,No,0
68,43.22,324.14,0,Month-to-Month,Mailed Check,No,0
6,109.96,4370.53,2,One-Year,Mailed Check,Yes,0
47,58.39,4870.1,0,One-Year,Mailed Check,No,0
55,74.36,4847.5,2,One-Year,Bank Transfer,No,0
40,110.65,3773.29,2,One-Year,Bank Transfer,No,0
52,82.42,737.42,2,Month-to-Month,Mailed Check,No,0
16,31.69,3815.49,0,Two-Year,Bank Transfer,No,1
13,113.98,220.48,0,Month-to-Month,Credit Card,Yes,0
30,82.77,208.41,0,Month-to-Month,Credit Card,No,0
19,53.49,1685.69,0,One-Year,Bank Transfer,No,0
17,33.93,2494.35,0,One-Year,Bank Transfer,No,0
63,99.4,3875.0,4,Month-to-Month,Credit Card,Yes,0
19,82.01,3448.15,1,Two-Year,Electronic,No,0
58,73.35,2284.92,0,Two-Year,Credit Card,No,0
55,109.39,1440.77,0,Month-to-Month,Credit Card,No,0
62,98.86,4985.91,1,Two-Year,Bank Transfer,No,0
23,35.17,2188.29,1,Month-to-Month,Credit Card,No,0
9,51.17,2311.8,1,Month-to-Month,Bank Transfer,No,0
12,44.85,901.76,3,Month-to-Month,Bank Transfer,No,1
1,94.39,3994.57,1,Two-Year,Mailed Check,No,0
58,23.35,3499.04,5,One-Year,Credit Card,No,0
1,76.99,1181.77,3,Month-to-Month,Electronic,No,0
34,96.25,503.67,0,Month-to-Month,Mailed Check,No,0
48,107.68,3434.45,4,One-Year,Bank Transfer,No,0
1,54.21,3307.1,0,Month-to-Month,Bank Transfer,No,0
16,102.13,1438.97,2,Two-Year,Electronic,No,0
61,31.06,4759.23,0,Two-Year,Bank Transfer,No,0
64,104.65,840.18,3,Month-to-Month,Credit Card,Yes,0
63,32.75,2218.44,3,Two-Year,Mailed Check,No,0
69,59.73,4723.72,2,Month-to-Month,Bank Transfer,No,1
22,99.73,2156.66,2,Two-Year,Bank Transfer,No,0
67,34.99,3228.78,0,One-Year,Electronic,No,0
26,42.93,2048.21,0,One-Year,Credit Card,No,0
16,92.23,1443.65,1,Month-to-Month,Bank Transfer,No,0
51,92.0,4921.49,0,Two-Year,Electronic,No,0
57,84.11,2105.74,1,Month-to-Month,Bank Transfer,No,0
29,89.39,4481.09,0,Month-to-Month,Electronic,No,0
69,74.27,1226.78,4,Month-to-Month,Electronic,No,0
47,45.18,1144.21,1,One-Year,Credit Card,No,0
62,54.57,252.56,2,Month-to-Month,Bank Transfer,No,0
69,38.16,3293.17,0,One-Year,Credit Card,No,1
16,110.85,1905.78,3,Two-Year,Electronic,No,0
48,78.34,4335.36,3,Month-to-Month,Mailed Check,No,0
39,60.09,2418.73,1,One-Year,Bank Transfer,No,0
33,66.2,4844.15,1,Month-to-Month,Mailed Check,No,0
23,114.73,1009.08,2,Two-Year,Bank Transfer,No,0
10,35.34,4356.25,0,Two-Year,Credit Card,No,0
69,78.62,3905.32,1,Month-to-Month,Credit Card,No,0
34,70.59,3877.52,0,One-Year,Credit Card,Yes,0
52,81.15,4239.44,0,Month-to-Month,Credit Card,Yes,0
10,21.81,3829.02,0,Month-to-Month,Credit Card,No,0
19,107.21,3168.48,0,Two-Year,Mailed Check,No,0
58,113.21,743.1,0,Month-to-Month,Credit Card,No,0
1,76.51,259.38,0,Month-to-Month,Electronic,No,0
69,89.67,4612.15,4,Month-to-Month,Electronic,No,0
4,112.25,3121.59,1,Two-Year,Mailed Check,No,1
16,90.72,4003.03,4,Month-to-Month,Bank Transfer,No,1
24,35.25,2459.46,1,Month-to-Month,Electronic,No,1
2,77.63,674.81,0,One-Year,Bank Transfer,Yes,0
32,80.67,713.41,1,Two-Year,Mailed Check,No,0
24,62.41,3459.27,1,Month-to-Month,Bank Transfer,Yes,0
12,93.64,2208.5,0,Month-to-Month,Bank Transfer,No,0
50,113.44,1082.57,1,Month-to-Month,Bank Transfer,No,0
35,112.56,2508.81,0,Month-to-Month,Bank Transfer,No,1
33,65.08,414.62,1,Month-to-Month,Mailed Check,No,1
33,31.32,2951.66,1,One-Year,Electronic,No,0
61,118.48,1418.07,0,One-Year,Credit Card,No,0
51,103.89,4008.04,0,One-Year,Bank Transfer,No,0
43,32.47,1620.77,2,Month-to-Month,Electronic,Yes,0
12,112.08,2330.58,1,Two-Year,Electronic,No,1
67,106.99,156.94,0,Month-to-Month,Mailed Check,No,0
65,71.88,454.99,5,Two-Year,Electronic,No,0
33,79.13,2023.22,0,One-Year,Mailed Check,No,1
40,59.9,2451.7,1,Month-to-Month,Bank Transfer,No,0
43,25.48,3040.1,5,One-Year,Bank Transfer,No,0
44,53.52,1529.15,0,Month-to-Month,Credit Card,No,1
29,100.29,3505.41,0,One-Year,Credit Card,No,0
13,20.46,4314.6,0,Month-to-Month,Credit Card,No,0
12,53.35,3921.27,0,Month-to-Month,Electronic,No,0
46,59.82,294.13,0,Two-Year,Bank Transfer,No,0
2,73.74,2454.48,1,Month-to-Month,Mailed Check,No,0
35,111.99,614.16,0,Two-Year,Credit Card,No,0
8,54.63,1286.02,1,Month-to-Month,Mailed Check,No,1
26,54.7,4934.65,5,One-Year,Mailed Check,No,0
34,93.75,798.23,2,One-Year,Credit Card,No,0
7,65.22,2544.55,1,Month-to-Month,Bank Transfer,No,0
68,42.46,3128.96,0,Month-to-Month,Credit Card,No,0
58,65.24,3542.08,1,Month-to-Month,Mailed Check,No,0
29,34.09,2842.28,1,Month-to-Month,Credit Card,Yes,0
36,37.64,147.88,1,Month-to-Month,Mailed Check,Yes,0
21,69.84,1699.66,0,One-Year,Mailed Check,No,0
36,61.89,2636.79,3,Two-Year,Credit Card,No,0
10,111.48,530.55,1,Two-Year,Electronic,No,0
24,56.24,1818.07,0,One-Year,Credit Card,No,0
64,78.06,262.7,0,One-Year,Electronic,No,0
49,83.23,485.03,1,One-Year,Mailed Check,No,0
36,21.31,2044.92,2,Month-to-Month,Mailed Check,No,0
24,86.35,750.31,2,Two-Year,Electronic,No,0
23,37.8,2880.95,2,One-Year,Mailed Check,No,0
62,116.11,3478.38,0,One-Year,Electronic,No,0
37,34.87,4022.87,1,Month-to-Month,Electronic,No,0
12,61.46,1080.74,1,Month-to-Month,Mailed Check,No,0
55,28.53,920.66,0,Month-to-Month,Bank Transfer,No,0
13,119.69,612.38,0,Two-Year,Electronic,No,0
23,70.22,3218.51,2,Month-to-Month,Credit Card,No,0
30,79.54,3561.73,0,Month-to-Month,Credit Card,No,0
17,26.71,254.77,1,Two-Year,Mailed Check,No,0
62,95.0,4687.44,0,Month-to-Month,Bank Transfer,No,0
13,40.99,354.66,0,Month-to-Month,Mailed Check,No,0
59,109.81,2752.35,0,Month-to-Month,Bank Transfer,No,0
19,40.51,3574.4,4,One-Year,Electronic,No,0
49,39.07,4367.75,2,Two-Year,Electronic,No,0
12,23.65,3599.03,4,Month-to-Month,Electronic,No,0
61,67.21,4028.47,1,Two-Year,Electronic,No,0
19,76.48,1763.31,0,Month-to-Month,Credit Card,Yes,0
